id,name,birthday,birthplace,thumb,summary
1,Claudette Colbert,9/13/1903,"Saint-Mand̩, Val-de-Marne, France",https://resizing.flixster.com/ifyD8l-6DYKlh6Oa-jNpgDbcIfA=/218x280/v2/https://flxt.tmsimg.com/assets/71053_v9_ba.jpg,"Inimitably charming, witty and sophisticated star of American films from the start of talkies till the mid-1950s, and later a most welcome presence on the stage and in occasional TV. Born in Paris, Claudette Colbert moved to New York when her banker father encountered financial setbacks. Initially intending to become a commercial artist, she studied with speech teacher Alice Rossetter to overcome a slight lisp. Rossetter encouraged Colbert to audition for a play she had just written, ""The Widow's Veil"" (1919), and so one of the most durable careers in show business began with an appearance as an Irish bride (complete with red wig and brogue)."
2,Clark Gable,2/1/1901,"Cadiz, Ohio, USA",https://resizing.flixster.com/kj4bsof_fDcSubp5w29JaFqBcAY=/218x280/v2/https://flxt.tmsimg.com/assets/73396_v9_ba.jpg,"The definition of American masculinity, Clark Gable was officially proclaimed the ""King of Hollywood"" during his Golden Age heyday. Initially considered too rough-hewn to play the romantic lead, Gable's virile persona soon earned him scores of fans in films like ""A Free Soul"" (1931), ""Red Dust"" (1932) and ""San Francisco"" (1936). He won an Oscar for his role in Frank Capra's ""It Happened One Night"" (1934), made women swoon as Fletcher Christian in ""Mutiny on the Bounty"" (1935), and charmed as roguish Rhett Butler in the epic ""Gone with the Wind"" (1939). Gable's delivery of the latter film's classic line, ""Frankly, my dear, I don't give a damn,"" was soon among the most quoted in the history of cinema. After distinguishing himself in combat during World War II with the Army Air Corps, Gable returned to Hollywood in 1945, albeit with a noticeably diminished spark. Although many of his late-career efforts were unremarkable, there were exceptions, such as the jungle adventure ""Mogambo"" (1953) and the naval action-drama ""Run Silent, Run Deep"" (1958). His final performance, however, also proved to be one of his best, when he was cast opposite Marilyn Monroe and Montgomery Clift in ""The Misfits"" (1961). As befitting his iconic stature, America was informed of Gable's sudden passing with the reverent headline ""The King is Dead."""
3,Walter Connolly,1887-04-08,"Cincinnati, Ohio, USA",https://resizing.flixster.com/MOF2_3Z0U_IJpYuw4wwf6mXORYM=/218x280/v2/https://flxt.tmsimg.com/assets/152629_v9_ba.jpg,
4,Roscoe Karns,1891-09-07,"San Bernardino, California, USA",https://resizing.flixster.com/Lwy-KORWt7AQnr6Kg-fjdv6DO6w=/218x280/v2/https://flxt.tmsimg.com/assets/56689_v9_ba.jpg,
5,Alan Hale,1892-02-10,"Washington, D.C., USA",https://resizing.flixster.com/OQo3j5I-ueMXa797cxInv8KgpBc=/218x280/v2/https://flxt.tmsimg.com/assets/76664_v9_ba.jpg,"Robust screen hero of the silent era who went on to direct seven films for Cecil B DeMille in the mid-1920s. After the advent of sound, Hale carved out a niche as a hearty sidekick in a number of Warner Bros. adventure films. Father of actor Alan Hale Jr."
6,Ward Bond,4/9/1903,"Benkelman, Nebraska, USA",https://resizing.flixster.com/gxrCKqSZZSvmyIC6WEyE0WxJYcQ=/218x280/v2/https://flxt.tmsimg.com/assets/80917_v9_bb.jpg,"One of the most prolific of Hollywood character actors. Bond began his career in the late 1920s and was a key member of John Ford's stock company, playing the parson/Texas Ranger in ""The Searchers"" (1956) and fictional film director John Dodge in ""The Wings of Eagles"" (1956). He starred in the TV series, ""Wagon Train."""
7,Frank Capra,1897-05-18,"Bisacquino, Sicily, Italy",https://resizing.flixster.com/nqPuHRQ3_TLWmdLcSIlOfhx4CS8=/218x280/v2/https://flxt.tmsimg.com/assets/21686_v9_ba.jpg,"During the Great Depression, director Frank Capra became America's preeminent filmmaker, leavening despair with his irrepressible optimism of the Everyman triumphing over seemingly insurmountable odds. A true rags-to-riches story himself, Capra started his career as a comedy writer for vaudeville star Harry Langdon before turning to directing during the silent era. In 1931, he began his lifelong collaboration with writer Robert Riskin on socially-conscious films like ""American Madness"" (1932) and ""Lady for a Day"" (1933), which led to Oscar glory with the classic screwball comedy ""It Happened One Night"" (1934), the first movie to ever sweep the five major Academy Award categories. Capra then entered a fruitful period with ""Mr. Deeds Goes to Town"" (1936), which he followed with the classic ""Mr. Smith Goes to Washington"" (1939), starring James Stewart, who came to exemplify the director's prototypical idealist. During World War II, Capra made several acclaimed wartime propaganda movies, including ""Prelude to War"" (1942), which won the Oscar for Best Documentary. Upon returning to Hollywood, he reunited with Stewart on ""It's a Wonderful Life"" (1946), a heartwarming tale that failed at the box office, but later became a perennial holiday classic. The director would make several more films over the next two decades before officially retiring and moving out of Hollywood, but ""It's a Wonderful Life"" would be his crowning achievement. With a career that celebrated patriotism, idealism and small-town American values, Capra's strength as a filmmaker marked him as a true giant of Hollywood's Golden Age."
8,Howard Jackson,2/8/1900,"St. Augustine, Florida, USA",/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
9,Samuel Hopkins Adams,1871-01-26,"Dunkirk, New York, USA",/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,
10,Robert Riskin,1897-03-30,"New York, New York, USA",/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,"A prolific writer who transitioned to film following success on Broadway, Robert Riskin collaborated with Frank Capra on some of the director's most iconic films, eventually earning five Academy Award nominations along the way. Riskin first worked with Capra on the religious-themed drama ""The Miracle Woman"" (1931) and bleak comedy ""The Platinum Blonde"" (1931) before collaborating on their first truly great film, ""Lad for a Day"" (1933). But it was the classic screwball comedy ""It Happened One Night"" (1934) that helped define both their careers and lived on as one of the greatest examples of the genre. Of course, his work was not limited to Capra, and Riskin wrote for other luminaries of his day like John Ford and William Wellman. But it was with Capra that he did his finest work, as exemplified by ""Mr. Deeds Goes to Town"" (1936), ""Lost Horizon"" (1937) and ""You Can't Take it With You"" (1938). Tired of Capra taking credit for his work, Riskin made his last film with the director, ""Meet John Doe"" (1941), before branching off on his own. Following his service in the war, he wrote ""The Thin Man Goes Home"" (1944), ""The Strange Love of Martha Ivers"" (1946) and ""Riding High"" (1950). Riskin suffered a debilitating stroke in 1950, though he received credit for ""Here Comes the Groom"" (1951) and ""Pocketful of Miracles"" (1961), which were written before his illness. Though he died relatively young, Riskin's output - particularly with Capra - remained virtually unmatched."
