id,name,release,meter,score,thumb,summary
1,It Happened One Night,2/22/1934,99,93,https://resizing.flixster.com/R6W8d94bsIKqkYI2TuVh33ofIQo=/206x305/v2/https://flxt.tmsimg.com/assets/p3584_p_v8_aa.jpg,"In Frank Capra's acclaimed romantic comedy, spoiled heiress Ellie Andrews (Claudette Colbert) impetuously marries the scheming King Westley, leading her tycoon father (Walter Connolly) to spirit her away on his yacht. After jumping ship, Ellie falls in with cynical newspaper reporter Peter Warne (Clark Gable), who offers to help her reunite with her new husband in exchange for an exclusive story. But during their travels, the reporter finds himself falling for the feisty young heiress."
2,Citizen Kane,5/1/1941,99,90,https://resizing.flixster.com/AUGwLwPoIOqnJzxEMaBbVHo349U=/206x305/v2/https://flxt.tmsimg.com/assets/p1485_p_v8_aa.jpg,"When a reporter is assigned to decipher newspaper magnate Charles Foster Kane's (Orson Welles) dying words, his investigation gradually reveals the fascinating portrait of a complex man who rose from obscurity to staggering heights. Though Kane's friend and colleague Jedediah Leland (Joseph Cotten), and his mistress, Susan Alexander (Dorothy Comingore), shed fragments of light on Kane's life, the reporter fears he may never penetrate the mystery of the elusive man's final word, ""Rosebud."""
3,The Wizard of Oz,8/25/1939,98,89,https://resizing.flixster.com/ulqUDhVVuKGWDLeBtkp9KjyReo8=/206x305/v2/https://flxt.tmsimg.com/NowShowing/129612/129612_ab.jpg,"When a tornado rips through Kansas, Dorothy (Judy Garland) and her dog, Toto, are whisked away in their house to the magical land of Oz. They follow the Yellow Brick Road toward the Emerald City to meet the Wizard, and en route they meet a Scarecrow (Ray Bolger) that needs a brain, a Tin Man (Jack Haley) missing a heart, and a Cowardly Lion (Bert Lahr) who wants courage. The wizard asks the group to bring him the broom of the Wicked Witch of the West (Margaret Hamilton) to earn his help."
4,Modern Times,2/5/1936,98,95,https://resizing.flixster.com/qN-w9Z9snWQnLq-0pPX4H3ud2Q8=/206x305/v2/https://flxt.tmsimg.com/assets/p6870_p_v8_aa.jpg,"This comedic masterpiece finds the iconic Little Tramp (Charlie Chaplin) employed at a state-of-the-art factory where the inescapable machinery completely overwhelms him, and where various mishaps keep getting him sent to prison. In between his various jail stints, he meets and befriends an orphan girl (Paulette Goddard). Both together and apart, they try to contend with the difficulties of modern life, with the Tramp working as a waiter and eventually a performer."
5,Black Panther,2/16/2018,96,79,https://resizing.flixster.com/P3XrfzcI9ycfMEdR6iqwPPv0rvU=/206x305/v2/https://resizing.flixster.com/dH6cVqiBByzFjrjLDr9NW9dSdQY=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzMxOGI1YzBhLWMyMjEtNGUxMS1iM2Q0LWQ4OGMyYzQyZjQyYS53ZWJw,"After the death of his father, T'Challa returns home to the African nation of Wakanda to take his rightful place as king. When a powerful enemy suddenly reappears, T'Challa's mettle as king -- and as Black Panther -- gets tested when he's drawn into a conflict that puts the fate of Wakanda and the entire world at risk. Faced with treachery and danger, the young king must rally his allies and release the full power of Black Panther to defeat his foes and secure the safety of his people."
6,Parasite,11/1/2019,98,90,https://resizing.flixster.com/enYPx96luLq0FWTdEpiWqX6rxMk=/206x305/v2/https://resizing.flixster.com/OCnoNZ2b2Z_Bpa0RX35IwYN1lLQ=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzZlZWEwMmY4LTk1OWUtNGEyOS04ODRmLTA0OWRjMzhlYWZkNi53ZWJw,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
7,Avengers: Endgame,4/26/2019,94,90,https://resizing.flixster.com/3Qqub489aOFnU3bfl835A_dYALk=/206x305/v2/https://resizing.flixster.com/j8RBPQAWUY99VK2IcLRbSdZs0o4=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2QxZjE5ZDgzLTRiY2MtNDFkYS04NWQ4LTRkYzc1ZTAwNWE2NC53ZWJw,"Adrift in space with no food or water, Tony Stark sends a message to Pepper Potts as his oxygen supply starts to dwindle. Meanwhile, the remaining Avengers -- Thor, Black Widow, Captain America and Bruce Banner -- must figure out a way to bring back their vanquished allies for an epic showdown with Thanos -- the evil demigod who decimated the planet and the universe."
8,Casablanca,1/23/1943,99,95,https://resizing.flixster.com/jl916WwYEgZd4TpevD4pVlz2Lc4=/206x305/v2/https://flxt.tmsimg.com/assets/p651_p_v8_ab.jpg,"Rick Blaine (Humphrey Bogart), who owns a nightclub in Casablanca, discovers his old flame Ilsa (Ingrid Bergman) is in town with her husband, Victor Laszlo (Paul Henreid). Laszlo is a famed rebel, and with Germans on his tail, Ilsa knows Rick can help them get out of the country."
9,Knives Out,11/27/2019,97,92,https://resizing.flixster.com/51Q8Wm5zvrn0VcEv7fRhuf6DXgY=/206x305/v2/https://resizing.flixster.com/mxWCkewT0pWYekfI7x9Y8QKPh14=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzVlNDRiYTk4LTNmYjAtNDdlYi04ZGU0LTZiYjU3ODVjNWRkNi53ZWJw,"The circumstances surrounding the death of crime novelist Harlan Thrombey are mysterious, but there's one thing that renowned Detective Benoit Blanc knows for sure -- everyone in the wildly dysfunctional Thrombey family is a suspect. Now, Blanc must sift through a web of lies and red herrings to uncover the truth."
10,Us,3/22/2019,93,60,https://resizing.flixster.com/YuVoaAfzakm8Ae2A-LKiyEFl3ac=/206x305/v2/https://flxt.tmsimg.com/assets/p15955710_p_v8_aa.jpg,"Accompanied by her husband, son and daughter, Adelaide Wilson returns to the beachfront home where she grew up as a child. Haunted by a traumatic experience from the past, Adelaide grows increasingly concerned that something bad is going to happen. Her worst fears soon become a reality when four masked strangers descend upon the house, forcing the Wilsons into a fight for survival. When the masks come off, the family is horrified to learn that each attacker takes the appearance of one of them."
